,item_name,img_link,label
0,Outdoor Research Helium Gaiter,https://rockrun.com/cdn/shop/products/outdoor-research-helium-gaiter_1_1600x.jpg?v=1655204507,0
1,Metolius Ultralight Curve Nuts,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/m/e/metolius_ultralight_curve_nuts_09-33-09-211_1.jpg,1
2,The North Face Women’s Summit Series Crevasse ½ Zip,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/7/u/7uty_jk3_hero_1.jpg,0
3,360° Vacuum Insulated Stainless Narrow Mouth Bottle (750ml),https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/b/l/blackjpg_2.jpg,0
4,TENDONMaster Rope 7.8 50m,https://i1.adis.ws/i/jpl/go_577875_a?w=364&h=364,1
5,Edelweiss Performance Unicore 9.2mm,https://rockrun.com/cdn/shop/products/edelweiss-performance-9.2-green_1600x.jpg?v=1656064446,1
6,EdelridWomen's Onsight Tank,https://i1.adis.ws/i/jpl/go_681725_a?w=364&h=364,0
7,Outdoor Research Womens Zendo Pant,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/2/8/2878032275d1_1.png,0
8,Ocun Logo Tee Women,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/b/f/bftdmzlvtakxii5wn9nn-361357b456ec16843f8ba728b3aecf04.jpeg,0
9,Moon Samurai Pant - Women's,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/2/0/20-163-098-2_granite_01.jpg,0
10,PetzlLynx Crampon,https://i1.adis.ws/i/jpl/go_309457_a?w=364&h=364,0
11,Climbing TechnologyBerry 12cm Quickdraw 6 Pack,https://i1.adis.ws/i/jpl/go_675603_a?w=364&h=364,1
12,Moon Women's Sigma Leggings,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/2/0/20-154-098-2_granite_01_2.jpeg,0
13,CAMP Voyager,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/c/a/camp-voyager-22b-cam-3283-white-light-grey-1.jpeg,1
14,3rd Rock Women's Iris Trousers,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/s/c/screenshot_2022-11-01_at_09.35.31.png,0
15,Moon Women's Sigma Short,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/2/0/20-002-098-2_granite_01_1_.jpg,0
16,3rd Rock Eve Vest,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/s/c/screenshot_2022-11-01_at_11.36.35.png,0
17,Scott Supertrac RC 2,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/s/c/screenshot_2022-06-29_at_08-21-07_scott_supertrac_rc_2_shoe.png,0
18,So Solid Native Leggings,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/n/a/native_red_1_2.png,0
19,The North Face Women's Antora Jacket,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/7/q/7qeu_s96_hero.png,0
20,Evolv The General,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/e/v/evolv-the-general-climbing-shoes-detail-2_2.jpg,1
21,Picture Women's Dalni FZ Tech Hoodie,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/w/s/wsw303_b_f.png,0
22,Edelrid Women's Spotter Crew,https://bananafingers.co.uk/media/catalog/product/cache/183e1672aae0fbc68f03bfd4fd2e0cd0/s/p/spotair1_1.png,0
23,Metolius PAS 22,https://rockrun.com/cdn/shop/files/metoliuspas22-blue_1600x.png?v=1730907303,1
24,DMM IMP Brass Nut 2 - Red,https://www.climbers-shop.com/images/imp2.jpg?width=480&height=480&format=webp&quality=70&scale=both,1
